Référence,lien,nom,Marque,image_url,boutique,Taille Ecran,Résolution,Processeur,Référence processeur,Mémoire RAM,Disque Dur,Type de disque dur,Carte Graphique,Système D’exploitation,Pc Gamer,prix
82QY00PEFE,https://www.graiet.tn/pc-portable-lenovo-v15-cel-n4500-8go-256ssd-fd.html,Pc Portable LENOVO V15 | Intel Celeron N4500 - 8GO - 256SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-v15-cel-n4500-8go-256ssd-fd.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,256 Go SSD,,Intel HD Graphics,Android 14,Non,"729,00 TND"
82VG00Q2FG-2Y,https://www.graiet.tn/lenovo-pc-portable-ideapad-amd-athlon-7120u-8go-256ssd-fd-silver.html,Pc Portable LENOVO  IDEAPAD 1 | AMD ATHLON - 7120U - 8GO - 256SSD - FD -  Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-amd-athlon-7120u-8go-256ssd-fd-silver_1.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,256 Go SSD,,AMD Radeon ™ Intégrée,FreeDos,Non,"729,00 TND"
AB1T8EA,https://www.graiet.tn/hp-pc-portable-15-ab1t8ea-celeron-n100-8go-256ssd-uhd-fd-noir.html,Pc Portable HP 15 | Intel Celeron N100 - 8 Go - 256 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/h/p/hp-pc-portable-15-ab1t8ea-celeron-n100-8go-256ssd-uhd-fd-noir.webp,graiet,15.6 “,(1600 x 720 ) Pixels,Celeron N100,,8 G,256 Go SSD,,Intel UHD Graphics,FreeDos,Non,"759,00 TND"
886L5EA,https://www.graiet.tn/pc-portable-hp-15-fd0030nk-intel-n100-4go-256ssd-windows-11-gris-charbon.html,Pc Portable HP 15 | Intel N100 - 4 GO - 256 SSD - Gris Charbon,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-fd0030nk-intel-n100-4go-256ssd-windows-11-gris-charbon_1.webp,graiet,15.6 “,Full HD 1080p,Celeron N100,,4 G,256 Go SSD,,Intel UHD Graphics,Windows 11,Non,"779,00 TND"
V3520-I3-512SSD,https://www.graiet.tn/dell-pc-portable-vostro-3520-i3-12e-gen-8go-512ssd-120hz-noir.html,PC Portable Dell Vostro 3520 | Intel i3 12e Génération - 8Go RAM - SSD 512Go - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc_portable_dell_vostro_3520_noir_-_ecran_15_6_pouces_full_hd_120hz_-_i3_12e_generation_avec_ssd_512go.webp,graiet,15.6 “,(1600 x 720 ) Pixels,Intel Core i3-12è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Ubuntu,Non,"1 019,00 TND"
BU-V3520-I3-512SSD-W11,https://www.graiet.tn/pc-portable-dell-vostro-3520-i3-12e-gen-8go-512ssd-120hz-win11.html,Pc Portable DELL  VOSTRO 3520 | Intel i3 - 8 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i3-12e-gen-16go-512ssd-120hz-noir_2__1_.jpg,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 039,00 TND"
9D6V6EA,https://www.graiet.tn/pc-portable-hp15-9d6v6ea-i3-13e-gen-8go-256ssd-win-11-monlight-blue.html,Pc Portable HP15 | Intel i3 - 8 Go - 256 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp15-9d6v6ea-i3-13e-gen-8go-256ssd-win-11-monlight-blue.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,256 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 039,00 TND"
V3520-I3-512SSD-16G,https://www.graiet.tn/dell-pc-portable-vostro-3520-i3-12e-gen-16go-512ssd-120hz-noir.html,Pc Portable DELL VOSTRO 3520 | Intel i3 - 16Go - 512SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i3-12e-gen-16go-512ssd-120hz-noir_2_.jpg,graiet,15.6 “,(1600 x 720 ) Pixels,Intel Core i3-12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Ubuntu,Non,"1 079,00 TND"
X1504VA-NJ739,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-8-go-ram-512-go-ssd.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 8 Go RAM / 512 Go SSD,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-8-go-ram-512-go-ssd.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 099,00 TND"
BU-V3520-I3-512SSD-16G-W11,https://www.graiet.tn/pc-portable-dell-vostro-3520-i3-12e-gen-16go-512ssd-120hz-win11.html,"PC Portable DELL Vostro 3520  i3, 16Go, Windows 11 Noir",,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-intel-core-i3-16go-512ssd-windows-11_3_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 099,00 TND"
X1504VA-NJ725,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-8-go-ram-silver.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 8 Go RAM / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-vivobook-x1504va-i3-13e-gen-8-go-ram-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 099,00 TND"
BU-X1504VA-NJ739-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-8-go-ram-windows-11.html,PC Portable ASUS X1504VA – Intel Core i3 13e Gén / 8 Go RAM / Windows 11,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-8-go-ram-windows-11.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 119,00 TND"
X1504VA-NJ725,https://www.graiet.tn/pc-portable-asus-x1504va-i3-13e-gen-8-go-ram-windows-11-silver.html,PC Portable ASUS  X1504VA – i3 13e Gén / 8 Go RAM / Windows 11,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-i3-13e-gen-8-go-ram-windows-11-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 119,00 TND"
B2502CBA-KJ1662,https://www.graiet.tn/asus-pc-portable-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 8 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-12è Gén,,8 G,512 Go SSD,,NVIDIA GeForce GTX 1660,Android 14,Non,"1 129,00 TND"
X1504VA-NJ518W,https://www.graiet.tn/asus-pc-portable-vivobook-15-i3-13e-gen-8go-512ssd-win11-bleu.html,Pc Portable ASUS  VIVOBOOK 15 | Intel i3 - 8 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/a/s/asus-pc-portable-vivobook-15-i3-13e-gen-8go-512ssd-win11-bleu.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 139,00 TND"
X1504VA-NJ814W,https://www.graiet.tn/asus-pc-portable-i3-13e-gen-8go-512ssd-win-11-silver.html,Pc Portable ASUS VIVOBOOK 15 | Intel i3 - 8 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-i3-13e-gen-8go-memoire-vive-disque-512-ssd-win-11-silver-clavier-chiclet-pave-num_rique_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 139,00 TND"
A2AP0EA,https://www.graiet.tn/hp-pc-portable-15-a2ap0ea-i3-n305-8go-512ssd-fd-naturel-silver.html,Pc Portable HP 15 | Intel i3 - 8 G - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-a2ap0ea-i3-n305-8go-512ssd-fd-naturel-silver_5_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-N305,,8 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 149,00 TND"
B2502CBA-KJ1662-WP,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-win11.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 8 G - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-12è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 149,00 TND"
X1504VA-NJ725-16G,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-silver.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 16 Go RAM / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 159,00 TND"
BU-X1504VA-NJ739-16G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-windows-11.html,PC Portable ASUS X1504VA – Intel Core i3 13e Gén / 16 Go RAM / Windows 11,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-windows-11_2_.webp,graiet,"19,5""",(960 x 480) Pixels,Hélio G99,,,64 Go eMMC,,NVIDIA GeForce GTX 1660,Android 14,Non,"1 179,00 TND"
BU-X1504VA-NJ725-16G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-i3-13e-gen-16-go-ram-windows-11-silver.html,PC Portable ASUS  X1504VA – i3 13e Gén / 16 Go RAM / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-windows-11-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 179,00 TND"
BU-X1504VA-NJ739-24G-S,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-512-go-ssd.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 24 Go RAM / 512 Go SSD,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-512-go-ssd_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 189,00 TND"
BU-X1504VA-NJ725-24G-S,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-silver.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 24 Go RAM / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-silver_4_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 189,00 TND"
X1504VA-NJ518W-16G,https://www.graiet.tn/pc-portable-asus-vivobook-15-i3-13e-gen-16go-512ssd-win11-bleu.html,Pc Portable ASUS VIVOBOOK 15 Intel i3 | 16 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/a/s/asus-pc-portable-vivobook-15-i3-13e-gen-8go-512ssd-win11-bleu_1__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 199,00 TND"
X1504VA-NJ814W-16G,https://www.graiet.tn/pc-portable-asus-vivobook-15-i3-13e-gen-16go-512ssd-win-11-silver.html,Pc Portable ASUS VIVOBOOK 15 Intel i3 | 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-i3-13e-gen-8go-memoire-vive-disque-512-ssd-win-11-silver-clavier-chiclet-pave-num_rique_2__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 199,00 TND"
BU-A2AP0EA-16G,https://www.graiet.tn/pc-portable-hp-15-a2ap0ea-i3-n305-16go-512ssd-fd-naturel-silver.html,Pc Portable HP 15 Intel i3 | 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-a2ap0ea-i3-n305-16go-512ssd-fd-naturel-silver.webp,graiet,"19,5""",(960 x 480) Pixels,Hélio G99,,,64 Go eMMC,,NVIDIA GeForce GTX 1660,Android 14,Non,"1 205,00 TND"
A2AN9EA-16G,https://www.graiet.tn/pc-portable-hp-15-a2an9ea-i3-n305-16go-512ssd-uhd-fd-gold.html,Pc Portable HP 15 Intel i3 | 16 Go - 512 SSD - Gold,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-i3-n305-16g-512ssd-intel-uhd-fd-gold_3_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-N305,,16 G,512 Go SSD,,Intel UHD Graphics,Android 14,Non,"1 205,00 TND"
BU-X1504VA-NJ739-24G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-windows-11.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 24 Go RAM / Windows 11,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-windows-11_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 209,00 TND"
BU-X1504VA-NJ725-24G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-i3-13e-gen-24-go-ram-windows-11-silver.html,PC Portable ASUS  X1504VA – i3 13e Gén / 24 Go RAM / Windows 11 / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-core-i3-13e-gen-24-go-ram-windows-11-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 209,00 TND"
B2502CBA-KJ1662-16G,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-16go-512ssd-intel-uhd.html,Pc Portable ASUS EXPERTBOOK B2 | Intel i3 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__1_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 229,00 TND"
B2502CBA-KJ1662-16G-WP,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-16go-512ssd-intel-uhd-win11.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__2__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 12é Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 249,00 TND"
X1504VA-NJ784W,https://www.graiet.tn/asus-pc-portable-ultra-3-i3-100u-8go-512ssd-win11-quiet-blue.html,Pc Portable ASUS ULTRA 3 | Intel i3 - 8 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-ultra-3-100u-8go-512ssd-win11-quiet-blue_3_.webp,graiet,15.6 “,Full HD 1080p,"i3-10110U (2.10 GHz up to 4.10 GHz, 4Mo Mémoire cache, Dual-Core)",,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 259,00 TND"
B2502CBA-KJ1662-24G,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-24go-512ssd-intel-uhd.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 24 Go - 512 SSD - Windows non inclus - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__1__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 12é Gén,,24Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 269,00 TND"
B2502CBA-KJ1662-24G-WP,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-24go-512ssd-win11.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 24 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__2__2.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 12é Gén,,24Go,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 289,00 TND"
82VG00NXFG-2Y,https://www.graiet.tn/lenovo-pc-portable-ip-ryzen-5-7520u-16go-512ssd-win11-gris.html,Pc Portable LENOVO | AMD RYZEN 5 - 16Go - 512SSD - Gris,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-ryzen-5-7520u-16go-512ssd-win11-gris_1_.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 289,00 TND"
,https://www.graiet.tn/lenovo-pc-portable-ip-3-15iil05-i3-1005g1-4go-1to-uhd-graphics-noir-81wb00xtfg,LENOVO Pc Portable IP 3 15IIL05 (i3-1005G1/4GO/1To/UHD Graphics) Noir (81WB00XTFG),,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/L/E/LENOVO-Pc-Portable-IP-3-15IIL05-i3-1005G14GO1ToUHD-Graphics-Noir-81WB00XTFG.jpg,graiet,,,,,,,,,,,"1 295,00 TND"
82XQ00M7FG,https://www.graiet.tn/pc-portable-lenovo-ideapad-slim-3-i5-13e-gen-16go-512ssd-fd-sacoche.html,PC PORTABLE LENOVO IDEAPAD SLIM 3 | 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-slim-3-i5-13e-gen-16go-512ssd-fd-sacoche.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,AMD Radeon ™ Intégrée,FreeDos,Non,"1 299,00 TND"
X1504VA-NJ1000W-16G,https://www.graiet.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16go-win11-avec-sac-a-dos.html,Pc Portable ASUS VIVOBOOK 15 | Intel i3 - 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-vivobook-asus-15-x1504va-i3-13e-gen-8go-512ssd-win11-avec-sac-a-dos_1__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 299,00 TND"
X1504VA-NJ784W-16G,https://www.graiet.tn/pc-portable-asus-ultra-3-i3-100u-8go-512ssd-win-11.html,Pc Portable ASUS ULTRA 3 | Intel i3 - 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-ultra-3-100u-8go-512ssd-win11-quiet-blue_5__1.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 339,00 TND"
845B6EA,https://www.graiet.tn/pc-portable-hp15-ryzen-5-7520-8go-512ssd-win-11-nateurel-silver.html,Pc Portable HP 15 RYZEN 5 | 8GO - 512SSD - SILVER,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp15-ryzen-5-7520-8go-512ssd-win-11-nateurel-silver_2_.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,512 Go SSD,,AMD Radeon ™ Intégrée,Windows 11,Non,"1 339,00 TND"
886J7EA,https://www.graiet.tn/hp-pc-portable-15-fc0017nk-ryzen-5-7520u-8go-512ssd-silver.html,Pc Portable HP 15 | 8GO - 512SSD - SILVER,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-fc0017nk-ryzen-5-7520u-8go-512ssd-silver-886j7ea.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,512 Go SSD,,Intel® Iris® X,Windows 11,Non,"1 339,00 TND"
