Référence,lien,nom,Marque,image_url,boutique,Taille Ecran,Résolution,Processeur,Référence processeur,Mémoire RAM,Disque Dur,Type de disque dur,Carte Graphique,Système D’exploitation,Pc Gamer,prix
X1504VA-NJ784W-24G,https://www.graiet.tn/pc-portable-asus-ultra-3-i3-100u-24go-512ssd-win-11.html,Pc Portable ASUS ULTRA 3 | Intel i3 - 24 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-ultra-3-100u-8go-512ssd-win11-quiet-blue_5__1_1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3,,24Go,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 389,00 TND"
X1504VA-NJ1000W-24G,https://www.graiet.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-24go-win11-avec-sac-a-dos.html,Pc Portable ASUS VIVOBOOK 15 | Intel i3 - 24 Go - 512Go SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-vivobook-asus-15-x1504va-i3-13e-gen-8go-512ssd-win11-avec-sac-a-dos_1__2.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 389,00 TND"
V3520-I5-512SSD,https://www.graiet.tn/dell-pc-portable-vostro-3520-i5-12e-gen-8go-512ssd-120hz-noir.html,Pc Portable DELL VOSTRO 3520 | Intel i5 - 8 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i5-12e-gen-8go-512ssd-120hz-noir_4_.jpg,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Ubuntu,Non,"1 389,00 TND"
82QD00E4FG,https://www.graiet.tn/lenovo-pc-portable-ideapad-15iau7-i5-12e-gen-8go-512ssd-fd-gris-avec-sacoche.html,PC Portable LENOVO IdeaPad 1 | Intel i5 - 8 Go - 512Go SSD - Gris,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-15iau7-i5-12e-gen-8go-512ssd-fd-gris-avec-sacoche_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 419,00 TND"
V3520-I5-512SSD-16G,https://www.graiet.tn/dell-pc-portable-vostro-3520-i5-12e-gen-16go-512ssd-120hz-noir.html,Pc Portable DELL VOSTRO 3520 | Intel i5 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i5-12e-gen-16go-512ssd-120hz-noir_4_.jpg,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Ubuntu,Non,"1 459,00 TND"
V3520-I5-512SSD-16G,https://www.graiet.tn/pc-portable-dell-vostro-3520-i5-12e-gen-16go-512ssd-120hz-windows-11.html,Pc Portable DELL VOSTRO 3520 | Intel i5 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i5-12e-gen-16go-512ssd-120hz-noir_4_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 479,00 TND"
82R400RXFG,https://www.graiet.tn/lenovo-pc-portable-amd-ryzen-7-5700-8go-512ssd-fd-avec-sacoche.html,Pc Portable LENOVO RYZEN 7 | 8 Go - 512 SSD - Windows non inclus - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/l/e/lenovo-pc-portable-amd-ryzen-7-5700-8go-512ssd-fd-avec-sacoche.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,512 Go SSD,,AMD Radeon ™ Intégrée,FreeDos,Non,"1 499,00 TND"
82QD00E4FG-16G,https://www.graiet.tn/pc-portable-lenovo-idea-pad-15iau7-i5-12e-gen-16go-512ssd-fd-gris-avec-sacoche.html,Pc Portable LENOVO IDEA Pad 15IAU7 | i5 12é Gén - 16Go- 512SSD - FD| Gris Avec Sacoche,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-15iau7-i5-12e-gen-8go-512ssd-fd-gris-avec-sacoche_2__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 499,00 TND"
83A1009HFE,https://www.graiet.tn/lenovo-pc-portable-v15-g4-iru-i5-13e-gen-8go-512ssd-fd-noir-avec-sacoche.html,Pc Portable LENOVO V15 G4 IRU | Intel i5 - 8 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-v15-g4-iru-i5-13e-gen-8go-512ssd-fd-noir-avec-sacoche.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,8 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 539,00 TND"
83ER00H5FG-2Y,https://www.graiet.tn/pc-portable-lenovo-idea-pad-slim-3-i5-12e-gen-16go-512ssd-fd-sacoche.html,Pc Portable LENOVO IDEA Pad Slim 3 |i5 12é Gén-16Go-512SSD-FD | + Sacoche,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/8/3/83er0098sa-traditional-laptops-45113011011748.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 539,00 TND"
X1502VA-NJ722W,https://www.graiet.tn/pc-portable-asus-x1502va-i5-13e-gen-8go-ram-512go-ssd-silver.html,PC Portable ASUS X1502VA – Intel Core i5 / 8 Go RAM / 512 SSD / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-vivobook-x1502va-i5-13e-gen-8go-ram-512go-ssd-silver_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 569,00 TND"
83EM00GMFG-2Y,https://www.graiet.tn/pc-portable-lenovo-ideapad-slim-3-i5-13e-gen-16go-512ssd-avec-sacoche.html,Pc Portable LENOVO IDEAPAD Slim 3 | i5 13é Gén - 16Go - 512SSD| Avec Sacoche,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/l/e/lenovo-pc-portable-ideapad-slim-3-i5-13e-gen-16go.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 589,00 TND"
X1502VA-NJ147W,https://www.graiet.tn/asus-pc-portable-vivobook-15-i5-13e-8go-512ssd-win-11-bleu.html,Pc Portable ASUS VIVOBOOK 15 | Intel i5 - 8 Go - 512Go SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-vivobook-15-i5-13e-8go-512ssd-win-11-bleu_6_.jpg,graiet,15.6 “,Full HD 1080p,i5 13è Gén,,8 G,512 Go SSD,,Intel® Iris® X,Windows 11,Non,"1 599,00 TND"
X1502VA-NJ722W-16G,https://www.graiet.tn/pc-portable-asus-x1502va-intel-core-i5-16-go-ram-512-ssd-silver.html,PC Portable ASUS X1502VA – Intel Core i5 / 16 Go RAM / 512 SSD / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1502va-intel-core-i5-16-go-ram-512-ssd-silver.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 609,00 TND"
83A1009HFE-16G,https://www.graiet.tn/lenovo-pc-portable-v15-g4-iru-i5-13e-gen-16go-512ssd-fd-noir-avec-sacoche.html,Pc Portable LENOVO V15 G4 IRU | Intel i5 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-v15-g4-iru-intel-i5-16go-512ssd-free-dos-noir-avec-sacoche-t210_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 629,00 TND"
X1502VA-NJ722W-24G,https://www.graiet.tn/pc-portable-asus-x1502va-intel-core-i5-24go-ram-512ssd-silver.html,PC Portable ASUS X1502VA – Intel Core i5 / 24Go RAM / 512SSD / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1502va-intel-core-i5-24go-ram-512ssd-silver.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,24Go,512 Go SSD,,NVIDIA GeForce GTX 1660,Windows 11,Non,"1 639,00 TND"
,https://www.graiet.tn/hp-pc-portable-15-9d6w0ea-i5-1334u-8go-512ssd-intel-iris-xe-win11-silver.html,Pc Portable HP 15 | Intel i5 - 8 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-9d6w0ea-i5-1334u-8go-512ssd-intel-iris-xe-win11-silver.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,8 G,512 Go SSD,,Intel® Iris® X,Windows 11,Non,"1 649,00 TND"
9D6W1EA,https://www.graiet.tn/hp-pc-portable-15-9d6w1ea-i5-1334u-8go-512ssd-win-11-gold.html,Pc Portable HP 15 | Intel i5 - 8 Go - 512 SSD - Gold,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-a2ap0ea-i3-n305-8go-512ssd-fd-naturel-silver_5__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 649,00 TND"
X1502VA-NJ147W-16G,https://www.graiet.tn/asus-pc-portable-vivobook-15-i5-13e-16go-512ssd-win-11-bleu.html,Pc Portable ASUS VIVOBOOK 15 | Intel i5 - 16 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-vivobook-15-i5-13e-8go-512ssd-win-11-bleu_6__1_.jpg,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,16 G,512 Go SSD,,Intel® Iris® X,Windows 11,Non,"1 669,00 TND"
2R0M4EA,https://www.graiet.tn/hp-pc-portable-15-dw3012nk-i5-1135-4g-1t-noir.html,Pc Portable HP 15 | Intel i5 - 8 Go - 1 TO - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/g/_/g_1.png,graiet,15.6 “,(1366 x 768) Pixels,"Intel Core i5-1135G7 ( jusqu’à 4,2 GHz, 8 Mo)",,8 G,1 To,,NVIDIA GeForce MX350,Windows 10,Non,"1 699,00 TND"
9D6W1EA-16G,https://www.graiet.tn/hp-pc-portable-15-9d6w1ea-i5-1334u-16go-512ssd-win-11-gold.html,Pc Portable HP 15 | Intel i5 - 16 Go - 512 SSD - Doré,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-9d6w1ea-i5-1334u-8go-512ssd-win-11-gold_1_.webp,graiet,15.6 “,Full HD 1080p,i5 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 699,00 TND"
9D6W0EA-16G,https://www.graiet.tn/pc-portable-hp15-9d6w0ea-i5-1334u-16go-512ssd-intel-iris-xe-win11-silver.html,Pc Portable HP15 | Intel i5 - 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-i3-n305-16g-512ssd-intel-uhd-fd-gold_3__1.webp,graiet,"19,5""",(960 x 480) Pixels,Hélio G99,,,64 Go eMMC,,NVIDIA GeForce GTX 1660,Android 14,Non,"1 699,00 TND"
S-X1502VA-NJ231W-16G,https://www.graiet.tn/asus-pc-portable-vivobook-15-i5-13e-gen-16go-512ssd-win-11-silver.html,Pc Portable ASUS VIVOBOOK 15 | Intel i5 - 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-vivobook-15-i5-13e-gen-16go-512ssd-win-11-silver.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 699,00 TND"
X1502VA-NJ147W-24,https://www.graiet.tn/pc-portable-asus-vivobook-15-x1502va-i5-24-go-512-ssd-bleu.html,PC Portable ASUS VivoBook 15 – Intel Core i5 / 24 Go / 512 SSD / Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-vivobook-15-x1502va-i5-24-go-512-ssd-bleu_4_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,24Go,512 Go SSD,,Intel® Iris® X,FreeDos,Non,"1 699,00 TND"
82XM00H6FG-2Y,https://www.graiet.tn/lenovo-pc-portable-ideapad-slim-3-ryzen-7-7730u-16go-512ssd-gris.html,Pc Portable LENOVO Slim 3 | AMD Ryzen 7 - 16 Go - 512 SSD - Free Dos - Gris,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-slim-3-ryzen-7-7730u-16go-512ssd-gris.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,AMD Radeon ™ Intégrée,FreeDos,Non,"1 699,00 TND"
82SF00FBFG,https://www.graiet.tn/lenovo-pc-portable-ideapad-5-i7-11gen-8go-512ssd-mx450-2go-fd-82fg00w4fe.html,Pc Portable LENOVO IDEAPAD 5 | Intel Core i7 - 8 Go - 512 SSD  - Gris,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/l/e/lenovo_pc_portable_ideapad_5_15itl05_i7_11g_n8go512ssdmx450_2gofd_gris_82fg00w4fe.png,graiet,15.6 “,Full HD 1080p,Intel® Core™ i7 11émé génération,,8 G,512 Go SSD,,NVIDIA GeForce MX450,FreeDos,Non,"1 699,00 TND"
BU-A2AN8EA-24G,https://www.graiet.tn/pc-portable-hp-15-9d6w0ea-i5-1334u-24go-512ssd-intel-iris-xe-win11-silver.html,Pc Portable HP 15 | Intel i5 - 24 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-i3-n305-32go-512go-ssd-silver-or-chaud_1.jpg,graiet,15.6 “,Full HD 1080p,i5 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 749,00 TND"
9D6W1EA-24G,https://www.graiet.tn/hp-pc-portable-15-9d6w1ea-i5-1334u-24go-512ssd-win-11-gold.html,Pc Portable HP 15 | Intel i5 - 24 Go - 512 SSD - Doré,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-9d6w1ea-i5-1334u-24go-512ssd-win-11-gold_1_.webp,graiet,15.6 “,Full HD 1080p,i5 13è Gén,,24Go,512 Go SSD,,Intel® Iris® X,Windows 11,Non,"1 749,00 TND"
A2AN8EA,https://www.graiet.tn/hp-pc-portable-hp-15-fd0045nk-i5-13e-gen-8go-512ssd-mx570-win11-gold.html,Pc Portable HP 15 | Intel i5 - 8 Go - 512 SSD - Doré,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-fd0045nk-i5-13e-gen-8go-512ssd-mx570-win11-gold.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,8 G,512 Go SSD,,GeForce MX570A,Windows 11,Non,"1 869,00 TND"
9D6W1EA-32G,https://www.graiet.tn/hp-pc-portable-15-9d6w1ea-i5-1334u-32go-512ssd-win-11-gold.html,Pc Portable HP 15  | Intel i5 - 32 Go - 512 SSD -  Doré,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/h/p/hp-pc-portable-15-9d6w1ea-i5-1334u-32go-512ssd-win11-gold_1_.webp,graiet,15.6 “,Full HD 1080p,i5 13è Gén,,32Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 869,00 TND"
A2AP6EA-32G,https://www.graiet.tn/pc-portable-hp15-9d6w0ea-i5-1334u-32go-512ssd-intel-iris-xe-win11-silver.html,Pc Portable HP 15 | Intel i5 - 32 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-i3-n305-32go-512go-ssd-silver-or-chaud.jpg,graiet,15.6 “,Full HD 1080p,i5 13è Gén,,32Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 875,00 TND"
A76C2EA,https://www.graiet.tn/hp-pc-portable-15-a76c2ea-ryzen-7-7730-16go-512ssd-win11-natural-silver.html,Pc Portable HP 15 | RYZEN 7 - 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-a76c2ea-ryzen-7-7730-16go-512ssd-win11-natural-silver.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 899,00 TND"
A2AN8EA-16G,https://www.graiet.tn/pc-portable-hp-15-fd0045nk-i5-13e-gen-16go-512ssd-mx570-win11-gold.html,Pc Portable HP 15 | Intel i5 - 16 Go - 512 SSD - Doré,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-fd0045nk-i5-13e-gen-8go-512ssd-mx570-win11-gold_2.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,16 G,512 Go SSD,,NVIDIA GeForce MX550,Windows 11,Non,"1 919,00 TND"
X1502VA-NJ233W,https://www.graiet.tn/asus-pc-portable-vivobook-15-x1502va-i7-13e-gen-8go-512ssd-silver.html,Pc Portable ASUS VIVOBOOK 15 | intel core i7  13è Gén -  8Go  -  512SSD  -  Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-8go-512ssd-silver_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core  i7 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 949,00 TND"
A2AN8EA-24G,https://www.graiet.tn/pc-portable-hp-15-fd0045nk-i5-13e-gen-24go-512ssd-mx570-win11-gold.html,Pc Portable HP 15 | Intel i5 - 24 Go - 512 SSD - Doré,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-fd0045nk-i5-13e-gen-8go-512ssd-mx570-win11-gold_1_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,24Go,512 Go SSD,,GeForce RTX 4070,Windows 11,Non,"1 969,00 TND"
83EM00GRFG,https://www.graiet.tn/pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13e-gen-16go-win-11-saccoche.html,PC Portable Lenovo IdeaPad Slim 3 15IRH8 | Intel Core i7 | 16Go RAM | Windows 11 + Sacoche,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13e-gen-16go-win-11-saccoche.webp,graiet,15.6 “,Full HD 1080p,Intel Core  i7 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 999,00 TND"
N1601PVNB3530,https://www.graiet.tn/pc-portable-dell-vostro-i7-13e-gen-512go-ssd-ubuntu.html,Pc Portable DELL VOSTRO | i7 – 8Go – 512SSD – Ubuntu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-i7-13e-gen-512go-ssd-ubuntu_5_.webp,graiet,"19,5""",(960 x 480) Pixels,Hélio G99,,,64 Go eMMC,,NVIDIA GeForce GTX 1660,Android 14,Non,"1 999,00 TND"
FA506NF-HN005W,https://www.graiet.tn/pc-portable-gamer-asus-amd-ryzen-5-rtx-2050-8go-ddr5-ssd-512go-tuf-fa506nf.html,PC Portable ASUS TUF A15 – Ryzen 5 – RTX 2050 – 512 SSD,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-gamer-asus-amd-ryzen-5-8-go-ddr5-ssd-512-go-rtx-2050-tuf-fa506nf-hn004_3_.webp,graiet,15.6 “,Full HD 1080p,_,,8 G,512 Go SSD,,GeForce RTX 2050,FreeDos,Oui,"2 009,00 TND"
FA506NF-HN005W-W11,https://www.graiet.tn/pc-portable-asus-tuf-a15-ryzen-5-rtx-2050-8go-windows-11.html,PC Portable ASUS TUF A15 – Ryzen 5 – RTX 2050 – 8Go – Windows 11,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/a/s/asus_tuf_a15_gamer_ryzen_5_rtx_2050_8go_ssd_windows_11.webp,graiet,15.6 “,Full HD 1080p,_,,8 G,512 Go SSD,,GeForce RTX 2050,Windows 11,Oui,"2 029,00 TND"
814494-3510,https://www.graiet.tn/dell-pc-portable-vostro-3510-i5-11e-gen-8go-512ssd-mx-350-fd-noir-3510-i5.html,Pc Portable DELL VOSTRO 3510 | Intel i5 - 8 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/m/m/mm.png,graiet,15.6 “,Full HD 1080p,"Intel Core i5-1135G7 ( jusqu’à 4,2 GHz, 8 Mo)",,8 G,512 Go SSD,,Intel UMA Graphics,FreeDos,Non,"2 059,00 TND"
A2AN8EA-32G,https://www.graiet.tn/pc-portable-hp15-fd0045nk-i5-13e-gen-32go-512ssd-mx570-win11-gold.html,Pc Portable HP 15 | Intel i5 - 32 Go - 512 SSD - Doré,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-fd0045nk-i5-13e-gen-8go-512ssd-mx570-win11-gold_1__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 13é Gén,,32Go,512 Go SSD,,NVIDIA GeForce MX550,Windows 11,Non,"2 079,00 TND"
83GS00KYFG,https://www.graiet.tn/pc-portable-lenovo-loq-i5-12e-gen-8go-512ssd-rtx-2050-souris-gaming.html,Pc Portable LENOVO LOQ | i5 12é Gén - 8Go - 512SSD - RTX 2050 | + Souris Gaming,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-loq-i5-12e-gen-8go-512ssd-rtx-2050-souris-gaming-m100.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,8 G,512 Go SSD,,GeForce RTX 2050,FreeDos,Oui,"2 099,00 TND"
